# sipm mean_fraction err_fraction rank
11 0.0764391 5.08667e-05 1
5 0.0699022 4.72714e-05 2
1 0.0685351 5.12864e-05 3
13 0.0684812 4.81243e-05 4
10 0.0664417 5.00844e-05 5
7 0.0659903 4.87963e-05 6
4 0.0655852 5.11826e-05 7
8 0.0648115 5.81364e-05 8
2 0.0644369 5.00199e-05 9
14 0.0633629 5.01168e-05 10
12 0.0609636 4.79616e-05 11
15 0.0545369 4.47903e-05 12
6 0.0543719 4.54662e-05 13
0 0.0530454 4.26754e-05 14
3 0.0519035 4.44904e-05 15
9 0.0511924 4.25144e-05 16
# order 11,5,1,13,10,7,4,8,2,14,12,15,6,0,3,9
