# sipm mean_fraction err_fraction rank
11 0.0764007 7.2665e-05 1
5 0.0712206 6.96824e-05 2
1 0.0692084 6.69568e-05 3
13 0.0690371 6.73617e-05 4
7 0.0672157 6.45463e-05 5
10 0.0663016 6.64559e-05 6
2 0.0653435 6.54e-05 7
4 0.0645991 6.60975e-05 8
14 0.0627624 6.58687e-05 9
8 0.061767 0.000102703 10
12 0.0605165 6.49848e-05 11
15 0.0554088 6.08612e-05 12
6 0.053919 6.05397e-05 13
0 0.0535184 5.78522e-05 14
3 0.0521175 5.94986e-05 15
9 0.0506638 5.86062e-05 16
# order 11,5,1,13,7,10,2,4,14,8,12,15,6,0,3,9
