# sipm mean_fraction err_fraction rank
11 0.076856 9.67197e-05 1
5 0.0727056 9.1951e-05 2
1 0.0706308 9.07362e-05 3
13 0.0695489 8.94049e-05 4
7 0.0689569 8.75544e-05 5
2 0.0670006 8.75911e-05 6
10 0.0663099 8.6927e-05 7
4 0.0636864 8.88645e-05 8
14 0.0622467 8.84716e-05 9
12 0.059921 8.83395e-05 10
15 0.0565034 8.1151e-05 11
8 0.0557188 0.000157262 12
0 0.0540609 7.75483e-05 13
6 0.0536158 8.19873e-05 14
3 0.0526351 8.14426e-05 15
9 0.0496032 8.29656e-05 16
# order 11,5,1,13,7,2,10,4,14,12,15,8,0,6,3,9
