# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
11 0.0762378 0.00466219 5.45452e-05 4.11673e-05 1
5 0.0705331 0.00426259 5.15712e-05 3.42855e-05 2
13 0.0683188 0.00447385 5.18856e-05 3.89979e-05 3
1 0.068296 0.00465579 5.47552e-05 4.28148e-05 4
10 0.0661577 0.00459011 5.35412e-05 4.05699e-05 5
7 0.0658284 0.00445925 5.19724e-05 4.02205e-05 6
2 0.064853 0.00455277 5.19871e-05 3.87854e-05 7
8 0.0645825 0.00524534 6.08585e-05 4.43655e-05 8
14 0.0640201 0.00452473 5.30221e-05 3.96303e-05 9
4 0.0602693 0.00431682 5.03329e-05 3.7092e-05 10
6 0.0567136 0.00424452 5.03845e-05 4.11838e-05 11
3 0.0556282 0.00430828 5.00389e-05 3.73657e-05 12
9 0.0555334 0.00419908 4.83277e-05 3.54848e-05 13
15 0.0551621 0.00419201 4.83148e-05 3.52497e-05 14
12 0.0549507 0.00401226 4.5885e-05 3.3029e-05 15
0 0.0528162 0.00390965 4.55907e-05 3.45216e-05 16
# order 11,5,13,1,10,7,2,8,14,4,6,3,9,15,12,0
