# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
8 0.065106 0.0106934 0.000112674 7.24141e-05 1
15 0.0631117 0.00699055 7.13099e-05 5.21863e-05 2
2 0.0630881 0.00648575 6.58858e-05 4.73304e-05 3
12 0.0630709 0.00680159 6.886e-05 4.97506e-05 4
3 0.0630625 0.00701103 7.14842e-05 5.20637e-05 5
13 0.0630593 0.00630408 6.55914e-05 5.11715e-05 6
5 0.0630211 0.00638956 6.64424e-05 5.31853e-05 7
10 0.0629888 0.00641453 6.48462e-05 4.76329e-05 8
11 0.0629877 0.00619312 6.39345e-05 4.93033e-05 9
4 0.0629475 0.00646503 6.51924e-05 4.72796e-05 10
6 0.0629356 0.00656322 6.70768e-05 4.86745e-05 11
9 0.0628955 0.00729147 7.43843e-05 5.72791e-05 12
14 0.0628083 0.00634182 6.61535e-05 4.77063e-05 13
7 0.0627845 0.00613707 6.31356e-05 4.88602e-05 14
1 0.0627524 0.00624728 6.46313e-05 5.08191e-05 15
0 0.0530467 0.00586284 5.99865e-05 4.67148e-05 16
# order 8,15,2,12,3,13,5,10,11,4,6,9,14,7,1,0
