# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
10 0.0634844 0.00842868 8.66599e-05 6.36479e-05 1
6 0.0634658 0.00848145 8.8239e-05 6.37868e-05 2
9 0.0634428 0.0103801 0.000106233 8.39839e-05 3
4 0.0632936 0.0086088 8.75873e-05 6.73581e-05 4
12 0.0632473 0.00926558 9.35865e-05 6.92256e-05 5
13 0.06319 0.00821049 8.45862e-05 6.2835e-05 6
7 0.063065 0.00809005 8.35848e-05 5.87627e-05 7
3 0.0630215 0.00931613 9.59643e-05 6.84768e-05 8
14 0.0630126 0.00844292 8.74992e-05 6.5222e-05 9
15 0.0630096 0.00914712 9.44869e-05 7.14855e-05 10
11 0.0629661 0.0080621 8.35854e-05 5.9486e-05 11
2 0.0629265 0.00844436 8.65904e-05 6.39214e-05 12
5 0.0629182 0.0081175 8.3189e-05 6.27587e-05 13
1 0.0627587 0.00825236 8.52821e-05 6.32692e-05 14
8 0.0622485 0.0167109 0.000175321 9.6678e-05 15
0 0.0532461 0.00765473 7.7799e-05 5.71021e-05 16
# order 10,6,9,4,12,13,7,3,14,15,11,2,5,1,8,0
