# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
6 0.0634676 0.0084057 8.79057e-05 6.10838e-05 1
10 0.0634671 0.00839293 8.65728e-05 6.58613e-05 2
9 0.0634115 0.0103988 0.000105278 7.99056e-05 3
4 0.0632907 0.00861961 8.74848e-05 6.54808e-05 4
12 0.0632608 0.00923159 9.3616e-05 6.99191e-05 5
13 0.0631797 0.00824659 8.49684e-05 6.63524e-05 6
15 0.0630523 0.00907867 9.42633e-05 6.82836e-05 7
7 0.0630191 0.00811997 8.35617e-05 6.21399e-05 8
14 0.0630027 0.0084096 8.74581e-05 6.37886e-05 9
3 0.0629919 0.00935019 9.62544e-05 7.19086e-05 10
2 0.0629907 0.008328 8.68666e-05 5.77478e-05 11
11 0.0629513 0.00806535 8.30606e-05 6.29933e-05 12
5 0.0629285 0.00812286 8.35316e-05 6.36546e-05 13
1 0.0627463 0.00825634 8.53476e-05 6.50423e-05 14
8 0.0625528 0.0164434 0.000173404 8.98282e-05 15
0 0.0532419 0.0076754 7.83675e-05 5.99435e-05 16
# order 6,10,9,4,12,13,15,7,14,3,2,11,5,1,8,0
