# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
11 0.0762488 0.00464979 5.48972e-05 4.21768e-05 1
5 0.0704881 0.00425908 5.07231e-05 3.27301e-05 2
1 0.0683006 0.00462407 5.45204e-05 4.40787e-05 3
13 0.0682688 0.00447082 5.21393e-05 3.94613e-05 4
10 0.0662005 0.00452691 5.19629e-05 3.6717e-05 5
7 0.0658172 0.00443671 5.07348e-05 3.67278e-05 6
2 0.0648787 0.00456218 5.24039e-05 4.0381e-05 7
8 0.0645554 0.00519156 5.95854e-05 4.09937e-05 8
14 0.0640122 0.00452121 5.30231e-05 4.11029e-05 9
4 0.0602962 0.00433431 5.03859e-05 3.88597e-05 10
6 0.056735 0.00418884 4.84569e-05 3.62787e-05 11
3 0.0556345 0.00428175 4.96969e-05 3.84296e-05 12
9 0.0555283 0.00419056 4.83946e-05 3.7125e-05 13
15 0.055195 0.00418111 4.82977e-05 3.58348e-05 14
12 0.0549545 0.00400941 4.6225e-05 3.3814e-05 15
0 0.052847 0.00390521 4.5119e-05 3.23014e-05 16
# order 11,5,1,13,10,7,2,8,14,4,6,3,9,15,12,0
