# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
8 0.065144 0.0106108 0.000113382 6.9629e-05 1
15 0.0630868 0.00700699 7.17373e-05 5.4286e-05 2
2 0.0630784 0.00649127 6.60125e-05 4.88539e-05 3
12 0.0630594 0.00679649 6.91163e-05 5.21606e-05 4
13 0.063051 0.00631658 6.52862e-05 4.94376e-05 5
3 0.0630284 0.00702969 7.20349e-05 5.46047e-05 6
5 0.0630219 0.00633906 6.5516e-05 4.96179e-05 7
10 0.0630034 0.00640307 6.49859e-05 4.84611e-05 8
11 0.063 0.00615499 6.31571e-05 4.60465e-05 9
9 0.0629334 0.00724559 7.37788e-05 5.57837e-05 10
4 0.0629178 0.00649379 6.69068e-05 5.1925e-05 11
6 0.0629087 0.00659377 6.71945e-05 5.1432e-05 12
1 0.0628102 0.00621513 6.3784e-05 4.78594e-05 13
14 0.0627847 0.00634206 6.59956e-05 4.91769e-05 14
7 0.0627752 0.00614083 6.28833e-05 4.6299e-05 15
0 0.0530389 0.00580612 5.89288e-05 4.39053e-05 16
# order 8,15,2,12,13,3,5,10,11,9,4,6,1,14,7,0
